Event,Room
1193-07,O2 Lejeune (1/3a)
11951-07,E1 Salle graphique Constitution (0/5)
11990-07,F1 Grand auditoire B01 (0/2)
1200-07,A1 Espace philo (3/36)
1201-07,B32 RICHELLE (1/6)
12018-07,A1 Salle Gothot (1/36)
1202-07,B18 R 122 (0/122)
1204-07,B41 Module 3 (1/88)
1205-07,L5 (0/3)
1206-07,A4 R100 (0/44)
12073-07,B4 A204 (0/24)
12093-07,B6d C26 (-1/26)
12099-07,B7a A303 (0/3)
1210-07,B23 salle 14 (-1/7)
1211-07,B43b Salle Schoenaers (-1/25)
1220-07,B36 salle 4 (-1/13)
12288-07,B41 Salle 7/TP sous RX (-1/46)
1230-07,B37 S.33 (-1/33)
123-07,B31 De Mean (2/102)
12365-07,B35a Bacq & Florkin (1/8)
125-07,A2 6/8
12525-07,F1 Auditoire B03 (1/33)
12676-07,B6d S38 (-1/38)
12735-07,A1 3/28b
12756-07,B45 AMPHI C (0/8)
12762-07,B35a Bacq & Florkin (1/8)
12770-07,A2 Salle Wilmotte (3/25)
12820-07,L5 (0/4)
12841-07,B36 salle 2 (-1/15)
12842-07,A4 Theatre (0/35)
12893-07,B4 A304 (0/30)
13019-07,B41 Module 1 (1/86)
13072-07,L1 Bucarest (1/31)
13090-07,B43a Salle de Parasitologie (2/68)
13102-07,B4 A604 (0/75)
13172-07,B22/1 Salle des profs (0/19)
13225-07,O2 Noppius (2/3a)
13314-07,L5 (1/6)
13393-07,B4 S94 (-1/90)
13407-07,O2 Noppius (2/3a)
13447-07,B7b A4 (0/29)
13450-07,B23 salle 50 (-1/15)
13576-07,E1 Salle graphique Constitution (0/5)
13587-07,B52 TP64 (0/302)
1359-07,B31 Laurent (4/89)
13693-07,B23 salle 14 (-1/7)
137-07,B43a Amphi D (2/36a)
13792-07,B31 Marx (4/84)
13815-07,L5 (2/9)
13841-07,B45 AMPHI C (0/8)
13842-07,B5b S30 (-1/30)
13885-07,B31 Durkheim (0/102)
13899-07,B4 S74 (-1/80)
13944-07,B43b Salle Schoenaers (-1/25)
14004-07,B31 De Mean (2/102)
14053-07,A1 Salle Academique (0/47)
1408-07,A1J 2/69a
1410-07,B6c 3/67B
14104-07,B36 salle 6 (-1/11)
14107-07,L1 Kyoto (0/29)
14200-07,B6c 2/71
14218-07,B52 TP36 (-1/303)
1425-07,B31 Seminaire 10 (3/101)
1426-07,A2 4/17
1427-07,L1 Venise (0/32)
1429-07,B7b A4 (0/29)
14331-07,N1a 25 (0/25)
1435-07,B35a D50 (2/7)
14390-07,B35a Bacq & Florkin (1/8)
14395-07,N1a 35 (0/35)
14411-07,B7a A303 (0/3)
14421-07,A2 5/11
1443-07,B31 Domat (0/89)
1445-07,B28 1.18
1447-07,A1 Seminaire theatre (2/53a)
1449-07,B31 Ricardo (0/111)
1450-07,B5a Geomatique (2/43)
145-07,N1d (0/86)
1451-07,N3a 2027 (0/27)
14512-07,L1 Stuttgart (0/34)
14549-07,B6c 2/71
14585-07,A1 Salle Gothot (1/36)
14587-07,B36 Stainier (0/5)
14675-07,A4 Theatre (0/35)
14726-07,F1 Auditoire moyen B02 (1/2)
14729-07,L5 (2/1)
14730-07,B32 DELBOEUF (0/25)
1476-07,B35a Bacq & Florkin (1/8)
14819-07,B28 R.75 (0/75)
14899-07,B4 A204 (0/24)
14943-07,B45 AMPHI C (0/8)
14975-07,B31 Mahaim (1/110)
14986-07,B31 Seminaire 11 (3/102)
15013-07,B31 Seminaire 7 (2/30)
1502-07,B52 (-1/426)
1503-07,B42 Salle RUPO 1 (0/84)
1508-07,I1 Salle Jeuniaux (1/72)
15150-07,A1J Salle Wittert (0/64a)
1516-07,N1a 120 (1/20)
15184-07,B4 R53 (0/80)
15216-07,A2 6/8
1529-07,L3 Auditoire 0/13A
15323-07,O2 Pousseur (3/7a)
15325-07,B8 Theatre Dick Annegarn (0/1)
15343-07,B31 Portalis (2/89)
15445-07,O2 Lejeune (1/3a)
15478-07,B5b S26 (-1/26)
15486-07,B31 Portalis (2/89)
15506-07,B6d C26 (-1/26)
15547-07,N1a 50 (0/50)
15555-07,A1 3/52
15751-07,B35a Roskam (0/8)
15846-07,B31 Domat (0/89)
15873-07,B18 R 64 (0/64)
15922-07,B5b S24 (-1/24)
15947-07,B35a Welsch (0/7)
16026-07,B31 De Mean (2/102)
16061-07,B32 TV (0/2)
16067-07,B37 0.36
16223-07,B4 A604 (0/75)
16297-07,A4 Theatre (0/35)
16304-07,B11 1/31 (1/31)
16340-07,L3 (2/19)
1635-07,N1a 130 (1/30)
16356-07,B31 Domat (0/89)
16409-07,B4 R52 (0/60)
16428-07,L1 Bergen (0/37)
16444-07,B31 Mahaim (1/110)
16533-07,L1 (0/40)
1665-07,B37 Auditoire 01 (0/1)
16665-07,B6a R43 (0/43)
16690-07,A1 3/52
16743-07,L5 (2/1)
1685-07,B18 R 168 (0/168)
169-07,A4 R100 (0/44)
17040-07,N1d (0/86)
17054-07,N1b 1715 (3/15)
17094-07,O2 Noppius (2/3a)
17153-07,F1 Auditoire B03 (1/33)
17196-07,B41 Module 4 (1/89)
17339-07,B28 R.75 (0/75)
17379-07,B52 TP40 (-1/301)
17421-07,A2 Salle Kurth (1/25)
1746-07,B4 A604 (0/75)
17465-07,B4 R54 (0/90)
17487-07,B43b Salle de cours B43bis (-1/29)
1753-07,B36 salle 5 (-1/12)
1754-07,B35a Roskam (0/8)
1765-07,A1 Salle Lumiere (2/52)
17653-07,N1a 119 (1/19)
17731-07,B28 R.3 (0/3)
17804-07,B31 De Mean (2/102)
17823-07,B23 salle 18 (-1/11)
17825-07,N1a 35 (0/35)
17828-07,E1 Auditoire 01 (0/28)
17883-07,B7a A303 (0/3)
17971-07,I1 Salle Ruwet (0/29)
17983-07,B8 Theatre Dick Annegarn (0/1)
18014-07,A1 Salle Academique (0/47)
18076-07,B5b S22 (-1/22)
18220-07,B4 A304 (0/30)
18223-07,E1 Auditoire 02 (0/25)
18438-07,B31 Laurent (4/89)
1844-07,B7b A142 (0/28)
18485-07,B28 R.7 (0/7)
18531-07,B5b S28 (-1/28)
18595-07,N1a 30 (0/30)
18664-07,N1d (-1/89)
1882-07,L5 (2/5)
18901-07,L3 (0/54)
18953-07,B37 Auditoire 02 (0/2)
18985-07,B7a S5 (-1/13)
19021-07,A2 5/6
19041-07,B31 Durkheim (0/102)
19192-07,B5b 1/35
19236-07,O2 Bovy (3/7b)
1930-07,B41 Salle 8/TP sous RX (-1/47)
19314-07,B31 Seminaire 11 (3/102)
19319-07,B36 salle 4 (-1/13)
19395-07,A2 4/12
19472-07,B18 R 202 (TP Poty) (0/202)
19509-07,N1a 50 (0/50)
19529-07,B31 Durkheim (0/102)
19708-07,L3 (2/4)
19876-07,B6d C26 (-1/26)
2029-07,A4 S50 (-1/48)
20347-07,A1 Salle Gothot (1/36)
2044-07,A4 R30 (0/2)
20643-07,L1 (1/19)
2096-07,L3 Auditoire 0/13A
2101-07,A1 3/26a
21013-07,B31 Domat (0/89)
2109-07,N1d (1/82)
21164-07,A1 Seminaire media (2/7a)
21514-07,N1d (0/88)
21746-07,B41 AMPHI A (0/5a)
2180-07,A1J Salle Grand Physique (1/76)
2185-07,B32 DUYCKAERTS (0/14)
21931-07,B34 Amphi Leon Fredericq (5/59A)
2199-07,B33 Trifac 3 (-1/40)
22021-07,L5 (1/9)
2215-07,A4 Salle du conseil histoire (2/2)
22446-07,L3 (1/37)
22702-07,A4 Theatre (0/35)
2282-07,E1 Salle graphique Ransonnet (0/8)
2289-07,B7a A1 (-1/10)
22944-07,A4 Theatre (0/35)
2303-07,I1 Amphi de Zoologie (0/39)
23099-07,A1 Espace philo (3/36)
2316-07,B22/1 Auditoire (0/35)
23215-07,B32 DUYCKAERTS (0/14)
2326-07,B31 De Mean (2/102)
2329-07,A4 Theatre (0/35)
23353-07,B36 Stainier (0/5)
23399-07,I1 Amphi de Zoologie (0/39)
23527-07,B41 Bibliotheque Seminaire (1/73)
2377-07,O2 Thiry (2/8a)
23870-07,I1 Amphi de Zoologie (0/39)
23883-07,I1 Laboratoire de mycologie (1/13)
2410-07,O2 Bovy (3/7b)
24108-07,A1 Salle Lumiere (2/52)
24132-07,F1 Grand auditoire B01 (0/2)
2437-07,B28 1.94
24393-07,B31 Keynes (0/84)
2452-07,A2 5/6
2455-07,A2 2/5
2456-07,B33 Trifac 3 (-1/40)
2458-07,A1J Salle Petit Physique (2/72a)
24643-07,B18 R 122 (0/122)
247-07,B7a S5 (-1/13)
24801-07,E1 Auditoire 02 (0/25)
24876-07,A2 Salle Kurth (1/25)
24896-07,B7a A500 (0/7)
2503-07,B36 salle 1 (-1/16)
25099-07,L5 (1/3)
2523-07,B36 Jorissen (0/3)
2527-07,B7a A303 (0/3)
2529-07,B7b A3 (0/30)
25412-07,N1a 30 (0/30)
25656-07,O2 Noppius (2/3a)
2569-07,A2 6/11
25965-07,F1 Grand auditoire B01 (0/2)
26064-07,A2 Salle Kurth (1/25)
2622-07,L5 (1/7)
26242-07,B28 1.126
2625-07,L5 (2/6)
2640-07,O2 Pousseur (3/7a)
2645-07,B4 A604 (0/75)
2648-07,B5a R47 (0/48)
2671-07,N1b 1715 (3/15)
2672-07,A1J 2/67
2673-07,B31 Weber (0/91)
2696-07,B7b A202 (0/26)
2708-07,O2 Thiry (2/8a)
271-07,A4 Theatre (0/35)
2784-07,A4 Theatre (0/35)
2788-07,A4 S50 (-1/48)
2789-07,B5b S22 (-1/22)
2791-07,L3 (0/54)
2835-07,B6d C26 (-1/26)
289-07,A1 Philo2 (2/28C)
29047-07,B6d S27 (-1/27)
291-07,L5 (1/4)
2911-07,B31 Seminaire 3 (1/29)
2926-07,A4 S100 (-1/44)
2943-07,B28 R.3 (0/3)
3045-07,N3a 1/25
3047-07,B7a A500 (0/7)
3048-07,B28 R.3 (0/3)
3135-07,N1a 15 (0/15)
314-07,A1J Salle Grand Physique (1/76)
3161-07,B18 R 168 (0/168)
3208-07,E1 Salle graphique Ransonnet (0/8)
3209-07,B6c 3/70 (3/70)
3211-07,A4 S100 (-1/44)
3263-07,B52 TP40 (-1/301)
3285-07,B6c 3/67B
3447-07,A1 Salle Commu2 (2/24b)
3475-07,E1 Auditoire 02 (0/25)
3547-07,B35a Welsch (0/7)
3552-07,A2 4/15
357-07,F1 Grand auditoire B01 (0/2)
358-07,L5 (1/6)
3751-07,B4 A204 (0/24)
3754-07,L1 (1/16)
3784-07,B6d R22 (0/22)
3809-07,B6d S27 (-1/27)
3879-07,B4 A304 (0/30)
3883-07,L3 Auditoire 0/13A
3950-07,B36 salle 5 (-1/12)
3953-07,B5b S26 (-1/26)
402-07,A1 Seminaire cinema (2/48a)
4072-07,A2 Salle Kurth (1/25)
4073-07,B35a Welsch (0/7)
4075-07,B37 Auditoire 01 (0/1)
4135-07,L1 (1/19)
4139-07,B43a Amphi D (2/36a)
422-07,N1a 138 (1/38)
4234-07,B23 salle 11 (0/47b)
4249-07,N1d (1/82)
4257-07,I1 Amphi de Zoologie (0/39)
4291-07,A1J Salle Wittert (0/64a)
430-07,N1a 34 (0/34)
4369-07,B4 S94 (-1/90)
4386-07,J6 Auditoire (0/35)
4390-07,B7a A303 (0/3)
4392-07,B37 S.39 (-1/39)
4396-07,B36 Jorissen (0/3)
4492-07,L3 (1/37)
4582-07,B7b A142 (0/28)
4585-07,A1 Salle Academique (0/47)
4645-07,A1 Salle Commu2 (2/24b)
4658-07,B21 Salle de cours ISEPK (2/11A)
4667-07,L3 (0/51)
4734-07,B43b Salle Schoenaers (-1/25)
4768-07,L5 (2/7)
4775-07,B4 R52 (0/60)
4778-07,B5b S30 (-1/30)
4843-07,B7a A500 (0/7)
4847-07,A1 Salle Gothot (1/36)
4855-07,N1a 15 (0/15)
4871-07,N1a 126 (1/26)
4893-07,B36 Jorissen (0/3)
4911-07,B36 salle 3 (-1/14)
493-07,A2 5/39
494-07,B31 Seminaire 11 (3/102)
4948-07,B33 Trifac 3 (-1/40)
4952-07,A1 Espace philo (3/36)
4960-07,B28 1.18
4972-07,F1 Auditoire moyen B02 (1/2)
4979-07,B36 Sternon (0/11)
4981-07,N1a 34 (0/34)
5000-07,B36 salle 2 (-1/15)
5018-07,B37 Auditoire 02 (0/2)
5020-07,B31 Portalis (2/89)
5032-07,B31 Portalis (2/89)
5033-07,A4 Theatre (0/35)
5086-07,B43a Salle de Parasitologie (2/68)
5192-07,B31 Durkheim (0/102)
5211-07,A1 Salle Gothot (1/36)
5241-07,B31 Portalis (2/89)
5266-07,L5 (1/8)
5271-07,B41 Seminaire pharmaco (1/103a)
5290-07,B28 1.97
5293-07,B4 R52 (0/60)
537-07,B37 Auditoire 01 (0/1)
539-07,L3 (0/57)
5404-07,B7b A4 (0/29)
5456-07,L1 Rome (1/33)
5460-07,B42 Amphi B (0/3a)
5463-07,B7a A300 (0/5)
5521-07,L3 (2/32)
5525-07,O2 Bovy (3/7b)
5526-07,N1a 50 (0/50)
5539-07,A1 Salle Academique (0/47)
5549-07,B4 S74 (-1/80)
5572-07,B6d C26 (-1/26)
5607-07,B33 Trifac 4 (-1/35)
5613-07,B32 de LANDSHEERE (2/12)
5619-07,L5 (2/7)
5663-07,A2 2/3
5734-07,N3a 1/25
5764-07,B52 (1/433)
5769-07,B5b S34 (-1/34)
580-07,B43a Amphi D (2/36a)
5855-07,O2 Noppius (2/3a)
5875-07,B6c 1/75
5885-07,B37 Auditoire 01 (0/1)
5904-07,A2 6/11
591-07,B31 Durkheim (0/102)
5951-07,E1 Auditoire 02 (0/25)
5974-07,B8 Theatre Dick Annegarn (0/1)
5987-07,N1d (1/82)
5988-07,L3 Auditoire 0/13A
5990-07,B31 Laurent (4/89)
599-07,L5 (1/3)
6019-07,B11 Sporck (0/81)
6026-07,B34 Amphi Leon Fredericq (5/59A)
6055-07,A4 S50 (-1/48)
6057-07,A1 3/22
6061-07,L5 (2/6)
6067-07,B22/1 Salle de cours 0/81
6075-07,B4 S74 (-1/80)
6083-07,N1a 130 (1/30)
6146-07,B37 S.39 (-1/39)
617-07,B31 Raikem (0/110)
6244-07,N1a 50 (0/50)
6281-07,L3 (2/37)
6319-07,A4 Musee de la Prehistoire (-1/66)
6383-07,N1a 115 (1/15)
6399-07,L5 (2/9)
6447-07,A4 S50 (-1/48)
6472-07,L3 (2/34)
6473-07,B33 IEJE (2/50)
6479-07,L1 (0/40)
6490-07,B33 Trifac 1 (-1/47)
6496-07,A4 Theatre (0/35)
6526-07,A4 S100 (-1/44)
663-07,B7a S3 (-1/15)
6657-07,O2 Noppius (2/3a)
666-07,A2 Salle Wilmotte (3/25)
669-07,B42 Amphi B (0/3a)
6758-07,B31 Comte (0/113)
6765-07,B7a A500 (0/7)
6768-07,A2 4/9
679-07,B43b Salle Schoenaers (-1/25)
6794-07,B31 Seminaire 1 (0/1)
68-07,O2 Thiry (2/8a)
681-07,B5a Geomatique (2/43)
682-07,B36 revision microscopie (-1/50)
6828-07,B28 1.21
683-07,B7a S1 (-1/17a)
686-07,B37 0.33
6862-07,B4 R54 (0/90)
6886-07,B4 A604 (0/75)
6889-07,B6d R30 (0/30)
6895-07,L3 (0/54)
693-07,B37 S.42 (-1/42)
694-07,N1a 25 (0/25)
695-07,B41 Salle 6/TP sous RX (-1/37c)
6974-07,B52 (1/828)
698-07,B6c 3/67A
6984-07,L5 (2/8)
699-07,B4 R53 (0/80)
700-07,B33 Trifac 2 (-1/43)
701-07,B28 R.21 (0/21)
703-07,B5b S28 (-1/28)
706-07,B6c 1/75
7078-07,O2 Thiry (2/8a)
7196-07,B6d C26 (-1/26)
724-07,B41 Salle 7/TP sous RX (-1/46)
7283-07,B42 Amphi B (0/3a)
7347-07,B52 (-1/631b)
7355-07,B8 Theatre Dick Annegarn (0/1)
7406-07,B7b A202 (0/26)
7515-07,B43a Salle de Parasitologie (2/68)
7530-07,A1 Salle Academique (0/47)
7598-07,A1J Salle Grand Physique (1/76)
7738-07,B6d S38 (-1/38)
7753-07,A1 Philo2 (2/28C)
7757-07,B28 2.93
8007-07,B37 1/64
8102-07,E1 Auditoire 01 (0/28)
8156-07,N1d (1/82)
8296-07,N1a 138 (1/38)
8322-07,B8 Theatre Dick Annegarn (0/1)
834-07,A1J 2/68
853-07,N1d (0/86)
855-07,F1 Grand auditoire B01 (0/2)
8609-07,B31 De Mean (2/102)
8846-07,N1d (-1/89)
8981-07,L3 Auditoire 0/13A
8994-07,B36 Sternon (0/11)
9003-07,B6c (0/42)
9021-07,B18 R 125 (0/125)
904-07,A1 Philo1 (2/35A)
9072-07,N1a 35 (0/35)
9077-07,B31 Seminaire 10 (3/101)
9087-07,B7b A202 (0/26)
914-07,B11 Sporck (0/81)
9173-07,B23 salle 11 (0/47b)
919-07,B5b R19 (0/19)
920-07,B23 salle 14 (-1/7)
928-07,I1 Salle des Professeurs (0/41a)
929-07,B41 Module 5 (1/90)
933-07,B5b S32 (-1/32)
9342-07,B42 Salle RUPO 2 (0/78)
937-07,B32 DELBOEUF (0/25)
938-07,B7b A142 (0/28)
939-07,A4 R10 (0/54a)
941-07,B21 Salle de cours ISEPK (2/11A)
944-07,B31 Weber (0/91)
945-07,B31 Weber (0/91)
946-07,N1d (0/89)
9461-07,B23 salle 11 (0/47b)
9469-07,B6c (1/38)
9471-07,B28 R.18 (0/18)
9479-07,B18 R 202 (TP Poty) (0/202)
955-07,B52 (-1/631b)
9612-07,B21 Laboratoire de pedagogie (3/17)
980-07,B31 Seminaire 10 (3/101)
986-07,B4 A604 (0/75)
994-07,A4 S100 (-1/44)
