Event,Room
13622-07,B36 Jorissen (0/3)
1363-07,B8 Theatre Dick Annegarn (0/1)
1364-07,E1 Auditoire 02 (0/25)
1392-07,B7a S2 (-1/16)
13921-07,L5 (2/9)
13924-07,B45 AMPHI C (0/8)
1393-07,B5b S30 (-1/30)
1394-07,O2 Thiry (2/8a)
1396-07,A1J Salle Wittert (0/64a)
13977-07,B36 revision microscopie (-1/50)
14005-07,L3 Auditoire 0/13A
14006-07,A1 Salle Academique (0/47)
14036-07,A1J 2/69a
14063-07,E1 Auditoire 01 (0/28)
14088-07,B7a A300 (0/5)
14090-07,L1 Kyoto (0/29)
14093-07,B6c 2/71
1415-07,B31 Salle du conseil (3/18)
14158-07,B31 Domat (0/89)
14160-07,A2 4/17
14174-07,B7a A500 (0/7)
14184-07,B18 R 168 (0/168)
14196-07,N1a 25 (0/25)
1420-07,B36 Stainier (0/5)
14245-07,B6c (1/38)
14343-07,N1a 35 (0/35)
14415-07,B7a A500 (0/7)
14479-07,B4 A304 (0/30)
14528-07,B31 Marx (4/84)
14551-07,B28 1.18
14573-07,A1 Seminaire theatre (2/53a)
1458-07,B37 S.33 (-1/33)
14645-07,B4 A204 (0/24)
14710-07,B28 1.123
14847-07,B31 Durkheim (0/102)
1486-07,B4 A304 (0/30)
1487-07,J6 Auditoire (0/35)
14966-07,B22/1 Salle de cours 0/81
1501-07,B41 AMPHI A (0/5a)
15068-07,A4 Theatre (0/35)
15170-07,F1 Auditoire moyen B02 (1/2)
1528-07,B31 Mahaim (1/110)
15425-07,B32 DELBOEUF (0/25)
15554-07,N1a 120 (1/20)
15683-07,B28 R.75 (0/75)
15839-07,B7b A4 (0/29)
15924-07,B7a S3 (-1/15)
15963-07,L5 (2/3)
16038-07,B31 Seminaire 11 (3/102)
16072-07,B31 Seminaire 7 (2/30)
16101-07,E1 Salle graphique Constitution (0/5)
1613-07,B4 A204 (0/24)
16328-07,B4 A204 (0/24)
16354-07,O2 Lejeune (1/3a)
16359-07,B31 Seminaire 10 (3/101)
16413-07,B4 R53 (0/80)
16439-07,A2 6/8
16554-07,N1a 50 (0/50)
1658-07,A2 Salle Kurth (1/25)
16585-07,N1d (-1/89)
16599-07,B31 Portalis (2/89)
16660-07,B36 salle 2 (-1/15)
16747-07,N1a 126 (1/26)
16783-07,B52 (0/523)
16930-07,B31 Durkheim (0/102)
1696-07,B35a Bacq & Florkin (1/8)
16970-07,B8 Theatre Dick Annegarn (0/1)
17030-07,N1a 138 (1/38)
17151-07,N1d (0/86)
17238-07,A1J 2/69a
1742-07,B5b S24 (-1/24)
17477-07,B35a Welsch (0/7)
1749-07,A1 3/28b
17521-07,B5b S34 (-1/34)
17526-07,B6d C26 (-1/26)
17559-07,N1a 30 (0/30)
1759-07,B22/1 Auditoire (0/35)
17661-07,B7a A303 (0/3)
17782-07,A1 Salle Gothot (1/36)
17783-07,N1a 130 (1/30)
17807-07,O2 Noppius (2/3a)
17988-07,B37 Auditoire 01 (0/1)
17999-07,E1 Auditoire 02 (0/25)
18005-07,B31 Mahaim (1/110)
18024-07,L1 (0/40)
18083-07,A2 5/16
18084-07,B52 TP64 (0/302)
1816-07,B7b A142 (0/28)
18227-07,B7b A202 (0/26)
18384-07,B4 A604 (0/75)
18475-07,B43a Amphi D (2/36a)
18523-07,N1d (0/86)
18684-07,N1b 1715 (3/15)
18720-07,B28 R.18 (0/18)
18741-07,F1 Auditoire B03 (1/33)
18759-07,B41 Salle 6/TP sous RX (-1/37c)
18928-07,B31 De Mean (2/102)
18961-07,B52 TP40 (-1/301)
18964-07,B31 Medialab (3/47)
18965-07,O2 Noppius (2/3a)
18989-07,B4 R54 (0/90)
19001-07,B28 R.3 (0/3)
1913-07,B35a Roskam (0/8)
19179-07,B5b S34 (-1/34)
19235-07,O2 Lejeune (1/3a)
19284-07,N1a 119 (1/19)
1933-07,B5b S32 (-1/32)
19351-07,I1 Salle Ruwet (0/29)
19352-07,B23 salle 18 (-1/11)
19449-07,N1a 35 (0/35)
19457-07,E1 Auditoire 01 (0/28)
19459-07,B36 Jorissen (0/3)
19521-07,I1 Salle Ruwet (0/29)
19711-07,A1 Salle Gothot (1/36)
1985-07,B4 S74 (-1/80)
20168-07,B5b S22 (-1/22)
20181-07,B6d R24 (0/24)
20264-07,A2 Salle Kurth (1/25)
20579-07,A1J Salle Grand Physique (1/76)
20580-07,B4 A604 (0/75)
20679-07,B28 R.7 (0/7)
20772-07,B28 R.75 (0/75)
21150-07,A2 Salle Wilmotte (3/25)
213-07,N1d (-1/89)
2146-07,B7b A142 (0/28)
21492-07,I1 Amphi de Zoologie (0/39)
215-07,B31 Durkheim (0/102)
21584-07,B7a S5 (-1/13)
218-07,A2 5/6
2184-07,B35a Welsch (0/7)
22091-07,B31 Seminaire 3 (1/29)
22182-07,O2 Bovy (3/7b)
22298-07,L3 (0/54)
22331-07,B52 (-1/426)
2244-07,B7a A300 (0/5)
2279-07,B11 Sporck (0/81)
23123-07,A1J Salle Petit Physique (2/72a)
2345-07,B33 Trifac 2 (-1/43)
23458-07,B31 Marx (4/84)
2350-07,B4 A304 (0/30)
23554-07,B28 1.97
237-07,B7b A202 (0/26)
23857-07,B37 Auditoire 01 (0/1)
23858-07,B4 A604 (0/75)
24367-07,B4 A604 (0/75)
24375-07,F1 Auditoire moyen B02 (1/2)
24479-07,N1a 130 (1/30)
24503-07,L1 (1/19)
24622-07,N1d (1/82)
24693-07,A1 Seminaire media (2/7a)
2471-07,B7a A303 (0/3)
2496-07,A2 5/16
2497-07,L5 (2/7)
25-07,B7a A303 (0/3)
2546-07,B4 A204 (0/24)
2547-07,B34 Amphi Leon Fredericq (5/59A)
25630-07,L5 (1/9)
2593-07,A2 Salle Kurth (1/25)
2594-07,I1 Amphi de Zoologie (0/39)
2606-07,B36 Sternon (0/11)
2607-07,E1 Salle graphique Ransonnet (0/8)
2621-07,B6c 3/67A
2667-07,B31 Seminaire 1 (0/1)
2688-07,B4 A604 (0/75)
2754-07,L3 Auditoire 0/13A
2800-07,A4 Theatre (0/35)
28111-07,B36 salle 5 (-1/12)
2849-07,L3 Auditoire 0/13A
2897-07,B8 Theatre Dick Annegarn (0/1)
2900-07,B5a R43 (0/44)
2918-07,L5 (1/3)
2945-07,B41 Bibliotheque Seminaire (1/73)
2950-07,A1J Salle Wittert (0/64a)
295-07,B32 de LANDSHEERE (2/12)
297-07,O2 Lejeune (1/3a)
3024-07,B31 Portalis (2/89)
3031-07,A1J Salle Grand Physique (1/76)
3034-07,B7a A500 (0/7)
3035-07,B31 De Mean (2/102)
3041-07,B37 Auditoire 01 (0/1)
3042-07,B37 Auditoire 01 (0/1)
3044-07,A2 2/5
3119-07,B33 Trifac 3 (-1/40)
3132-07,L5 (2/1)
3213-07,B7a A303 (0/3)
3278-07,N1a 30 (0/30)
329-07,B7a A300 (0/5)
3376-07,B7a A1 (-1/10)
340-07,L3 Auditoire 0/13A
3411-07,A1 Salle Lumiere (2/52)
3424-07,L5 (1/3)
3425-07,B6c 3/66
3434-07,B52 TP36 (-1/303)
3452-07,J6 Salle de cours (0/21)
3454-07,N1a 126 (1/26)
3541-07,O2 Noppius (2/3a)
356-07,B28 R.75 (0/75)
3749-07,F1 Grand auditoire B01 (0/2)
3808-07,B4 A604 (0/75)
383-07,L5 (1/7)
3872-07,L1 (0/40)
3876-07,B31 De Mean (2/102)
3891-07,B7a A303 (0/3)
395-07,L5 (2/6)
3955-07,B31 Domat (0/89)
396-07,N1b 1715 (3/15)
397-07,B36 Sternon (0/11)
3978-07,B41 Module 3 (1/88)
398-07,N1d (0/89)
3990-07,L3 Auditoire 0/13A
399-07,B23 salle 18 (-1/11)
400-07,B37 S.42 (-1/42)
401-07,B23 salle 19 (-1/12)
403-07,B5b S22 (-1/22)
405-07,L3 (0/54)
4074-07,B37 Auditoire 01 (0/1)
4137-07,A1 Philo2 (2/28C)
421-07,L3 Auditoire 0/13A
4218-07,B34 Amphi Leon Fredericq (5/59A)
4229-07,A2 4/9
426-07,B20 R 94 (0/15)
429-07,B23 salle 19 (-1/12)
4314-07,B31 Durkheim (0/102)
4315-07,A1J Salle Grand Physique (1/76)
4344-07,B18 R 202 (TP Poty) (0/202)
4357-07,L1 Kyoto (0/29)
4366-07,I1 Amphi de Zoologie (0/39)
4383-07,B7a A303 (0/3)
44-07,E1 Salle graphique Ransonnet (0/8)
4450-07,L3 (0/54)
4466-07,A1J Salle Wittert (0/64a)
45-07,B52 TP40 (-1/301)
4512-07,B31 Portalis (2/89)
4580-07,N1a 50 (0/50)
4581-07,A2 Salle Wilmotte (3/25)
4648-07,B77 Salle polyvalente (0/6)
4655-07,A2 4/15
4661-07,J6 Auditoire (0/35)
472-07,L5 (1/6)
473-07,B32 de LANDSHEERE (2/12)
474-07,L1 (1/16)
4744-07,B6d R22 (0/22)
476-07,B7a S2 (-1/16)
477-07,L3 (0/54)
4779-07,N1a 25 (0/25)
478-07,A1 3/26b
480-07,B5b S26 (-1/26)
4802-07,A1 Seminaire cinema (2/48a)
4826-07,B7a A303 (0/3)
483-07,A4 R100 (0/44)
4910-07,B42 Salle RUPO 1 (0/84)
4912-07,A1 Salle Lumiere (2/52)
4929-07,B32 TV (0/2)
4930-07,B5a R45 (0/46)
4932-07,A1 Salle Academique (0/47)
4949-07,B6c (0/42)
4956-07,L5 (2/3)
4958-07,L5 (2/9)
4990-07,B45 AMPHI C (0/8)
5009-07,B4 S94 (-1/90)
5016-07,B31 Portalis (2/89)
5019-07,B22/1 Salle des profs (0/19)
5031-07,B37 S.42 (-1/42)
5045-07,B6c (0/42)
5061-07,B31 Portalis (2/89)
51-07,N1a 223 (2/23)
5163-07,B7a A303 (0/3)
5164-07,B7a A303 (0/3)
5257-07,B35a Bacq & Florkin (1/8)
526-07,A4 Musee de la Prehistoire (-1/66)
53-07,B41 Salle 7/TP sous RX (-1/46)
5315-07,B18 R 122 (0/122)
532-07,B6d R24 (0/24)
533-07,B5b S30 (-1/30)
5384-07,L5 (0/4)
5418-07,B40 Salle de cours 1/8 (1/8)
5436-07,E1 Auditoire 02 (0/25)
5438-07,B31 Laurent (4/89)
5444-07,A1 Espace philo (3/36)
5465-07,B32 TV (0/2)
5467-07,A4 R30 (0/2)
5486-07,B7a S1 (-1/17a)
5522-07,O2 Bovy (3/7b)
5523-07,B31 Portalis (2/89)
5534-07,A1 Seminaire theatre (2/53a)
5536-07,L5 (1/8)
5537-07,B31 Ricardo (0/111)
5595-07,A4 Theatre (0/35)
5609-07,L1 Bucarest (1/31)
5611-07,B31 Seminaire 6 (2/24)
5627-07,O2 Pousseur (3/7a)
563-07,B31 Seminaire 3 (1/29)
565-07,A4 R10 (0/54a)
566-07,B5b S26 (-1/26)
567-07,A1 Salle Gothot (1/36)
568-07,B36 salle 1 (-1/16)
569-07,B31 Portalis (2/89)
5704-07,B41 Seminaire pharmaco (1/103a)
571-07,B41 Seminaire pharmaco (1/103a)
5716-07,B28 R.3 (0/3)
572-07,B4 R52 (0/60)
5759-07,B11 R/33 (0/33)
5760-07,L3 (0/57)
5763-07,B23 salle 15 (-1/8)
5770-07,B7a S5 (-1/13)
5777-07,E1 Auditoire 01 (0/28)
5778-07,B37 Auditoire 02 (0/2)
58-07,B31 Portalis (2/89)
5841-07,B37 Auditoire 01 (0/1)
5877-07,O2 Pousseur (3/7a)
5907-07,B36 revision microscopie (-1/50)
5942-07,B4 S74 (-1/80)
596-07,A1 Philo1 (2/35A)
5965-07,B33 Trifac 4 (-1/35)
5999-07,B6c 3/67B
601-07,B23 salle 17 (-1/10)
6051-07,A2 2/3
6077-07,B37 0.39
6212-07,B4 S74 (-1/80)
6239-07,N1a 224 (2/24)
6276-07,B5a Geomatique (2/43)
6301-07,B31 Mahaim (1/110)
6349-07,B31 Tocqueville (2/84)
641-07,L5 (2/5)
642-07,A2 6/11
643-07,B7b A4 (0/29)
644-07,B31 Medialab (3/47)
645-07,B23 salle 50 (-1/15)
646-07,N1d (1/82)
647-07,B6d R22 (0/22)
6478-07,B31 Laurent (4/89)
648-07,A1 Espace philo (3/36)
649-07,L1 (1/19)
6567-07,A1 Seminaire theatre (2/53a)
6575-07,A4 S50 (-1/48)
6584-07,A1 3/22
6585-07,B23 salle 14 (-1/7)
6619-07,N3a 1/25
6791-07,B11 1/31 (1/31)
6805-07,L1 (1/16)
6814-07,B37 S.39 (-1/39)
6829-07,B32 RICHELLE (1/6)
6863-07,N1d (0/88)
6899-07,N1a 138 (1/38)
6961-07,B31 De Mean (2/102)
6973-07,A2 Salle Kurth (1/25)
6997-07,B35a D50 (2/7)
7002-07,A4 S50 (-1/48)
7095-07,B6d C26 (-1/26)
712-07,B4 A604 (0/75)
7148-07,B35a Bacq & Florkin (1/8)
7220-07,A1J Salle Petit Physique (2/72a)
7275-07,B5b 1/19
7281-07,A4 S100 (-1/44)
7348-07,A1 3/52
7383-07,I1 Amphi de Zoologie (0/39)
7407-07,L3 Auditoire 0/13A
7539-07,B31 De Mean (2/102)
7599-07,A1J Salle Grand Physique (1/76)
7618-07,B7a A2 (-1/9)
7620-07,B35a Bacq & Florkin (1/8)
7638-07,B7b A142 (0/28)
7686-07,B31 Seminaire 1 (0/1)
796-07,O2 Noppius (2/3a)
8030-07,B36 salle 6 (-1/11)
8160-07,B45 AMPHI C (0/8)
821-07,L3 Auditoire 0/13A
8238-07,E1 Auditoire 01 (0/28)
8311-07,B31 Keynes (0/84)
8313-07,B4 R54 (0/90)
836-07,A1 CEDOPAL (3/46)
854-07,A1J Salle Grand Physique (1/76)
856-07,E1 Auditoire 02 (0/25)
857-07,B31 Domat (0/89)
8791-07,A4 S100 (-1/44)
8825-07,B41 Bibliotheque Seminaire (1/73)
8831-07,B52 (1/828)
8848-07,B6c 3/67A
8850-07,N1d (1/82)
885-07,N1a 115 (1/15)
886-07,B33 Trifac 2 (-1/43)
887-07,B28 R.21 (0/21)
888-07,B5b S28 (-1/28)
889-07,B6c 1/75
8959-07,B28 1.18
8973-07,L3 (2/19)
8992-07,B41 Salle 7/TP sous RX (-1/46)
9045-07,B6d R30 (0/30)
905-07,B31 De Mean (2/102)
9052-07,L3 (0/51)
9172-07,B41 Salle 8/TP sous RX (-1/47)
9198-07,O2 Lejeune (1/3a)
9203-07,B36 Jorissen (0/3)
9270-07,B28 R.75 (0/75)
9273-07,N1a 126 (1/26)
9409-07,B45 AMPHI C (0/8)
9460-07,B28 1.18
9466-07,B28 R.21 (0/21)
9516-07,B6d S38 (-1/38)
9576-07,L1 Bergen (0/37)
966-07,B21 Salle de cours ISEPK (2/11A)
9677-07,A1J 2/68
969-07,B7a A500 (0/7)
9697-07,B31 Raikem (0/110)
971-07,B35a Bacq & Florkin (1/8)
9719-07,E1 Salle graphique Constitution (0/5)
9766-07,B23 salle 20 (-1/13)
9776-07,B31 Weber (0/91)
978-07,A1 Salle Gothot (1/36)
9966-07,B6c (0/42)
