Event,Room
1442-07,L5 (1/7)
14424-07,N1a 35 (0/35)
14437-07,B4 A604 (0/75)
14485-07,L5 (1/6)
1453-07,B6d S38 (-1/38)
14575-07,L5 (1/8)
14612-07,B7b A4 (0/29)
14668-07,B23 salle 50 (-1/15)
14682-07,E1 Salle graphique Constitution (0/5)
1475-07,B36 revision microscopie (-1/50)
14808-07,B18 R 125 (0/125)
14812-07,B23 salle 14 (-1/7)
14822-07,N1a 25 (0/25)
14849-07,B7a S2 (-1/16)
15119-07,L5 (2/9)
15143-07,N1a 50 (0/50)
15160-07,L3 Auditoire 0/13A
15182-07,O2 Thiry (2/8a)
152-07,A1J Salle Wittert (0/64a)
154-07,B43b Salle Schoenaers (-1/25)
15540-07,L3 Auditoire 0/13A
15546-07,J6 Salle de cours (0/21)
1577-07,B31 Durkheim (0/102)
15773-07,B6c 3/67B
159-07,B36 salle 6 (-1/11)
15949-07,L1 Kyoto (0/29)
16059-07,B6c 2/71
1614-07,B35a Welsch (0/7)
16279-07,B31 Seminaire 10 (3/101)
16314-07,O2 Lejeune (1/3a)
16344-07,L1 Venise (0/32)
16450-07,B37 Auditoire 02 (0/2)
16592-07,N1a 35 (0/35)
16726-07,B35a D50 (2/7)
16741-07,B6c (1/38)
16742-07,A1 Salle Commu2 (2/24b)
1692-07,O2 Lejeune (1/3a)
1694-07,A1J Salle Grand Physique (1/76)
16961-07,B31 Domat (0/89)
16986-07,I1 Amphi de Zoologie (0/39)
16987-07,B35a Roskam (0/8)
1705-07,B31 Laurent (4/89)
1708-07,B4 A204 (0/24)
17085-07,B28 1.123
17148-07,B31 Durkheim (0/102)
17233-07,L1 Stuttgart (0/34)
17248-07,B6c 2/71
17290-07,B22/1 Salle de cours 0/81
1745-07,L5 (1/7)
1747-07,A4 Theatre (0/35)
1748-07,B36 salle 3 (-1/14)
17493-07,L5 (2/1)
17501-07,B32 DELBOEUF (0/25)
1755-07,B41 Salle 8/TP sous RX (-1/47)
1756-07,B28 R.75 (0/75)
1758-07,B7b A4 (0/29)
17599-07,B36 salle 5 (-1/12)
1760-07,L5 (2/3)
1766-07,B31 Seminaire 11 (3/102)
1767-07,A2 5/11
1771-07,A1 3/24
17895-07,A2 Salle Kurth (1/25)
1795-07,B4 A204 (0/24)
18134-07,A1J Salle Wittert (0/64a)
18308-07,B31 Seminaire 10 (3/101)
18310-07,A1 Salle Gothot (1/36)
18393-07,A2 6/8
18423-07,L3 Auditoire 0/13A
18433-07,F1 Auditoire B03 (1/33)
1856-07,B8 Theatre Dick Annegarn (0/1)
18580-07,B7a A2 (-1/9)
1862-07,O2 Lejeune (1/3a)
1863-07,B31 Domat (0/89)
18660-07,N1a 50 (0/50)
18695-07,B4 S94 (-1/90)
18932-07,N1a 224 (2/24)
18947-07,B52 (0/523)
19004-07,B7a A500 (0/7)
19034-07,A1 3/26a
19135-07,B11 Macar (0/71)
1915-07,B5b S24 (-1/24)
1916-07,E1 Auditoire 01 (0/28)
1917-07,A1 3/28b
1923-07,B23 salle 18 (-1/11)
1924-07,B37 0.36
1925-07,B5a R43 (0/44)
19260-07,B31 Portalis (2/89)
1926-07,B11 1/31 (1/31)
1927-07,B34 Amphi Leon Fredericq (5/59A)
1936-07,N1a 130 (1/30)
1937-07,A2 Salle Wilmotte (3/25)
19435-07,B36 salle 8 (-1/9)
19466-07,L1 Bergen (0/37)
19476-07,B31 Mahaim (1/110)
19519-07,L1 (0/40)
1994-07,B5b S34 (-1/34)
19950-07,B7a A300 (0/5)
20079-07,N1a 138 (1/38)
20480-07,B7b A3 (0/30)
2061-07,I1 Amphi de Zoologie (0/39)
21026-07,A4 R30 (0/2)
2112-07,N1d (0/86)
2126-07,N1b 1715 (3/15)
2166-07,B35a Roskam (0/8)
2181-07,I1 Amphi de Zoologie (0/39)
2182-07,B35a Welsch (0/7)
2183-07,B42 Salle RUPO 2 (0/78)
219-07,B52 TP40 (-1/301)
2191-07,A1J Salle Wittert (0/64a)
22243-07,A2 6/41
22279-07,B4 R54 (0/90)
22368-07,B43b Salle de cours B43bis (-1/29)
2255-07,I1 Amphi de Zoologie (0/39)
22576-07,B5b S34 (-1/34)
22654-07,A1 Salle Lumiere (2/52)
2268-07,A2 Salle Kurth (1/25)
230-07,B28 R.3 (0/3)
2352-07,L3 Auditoire 0/13A
2355-07,A4 Theatre (0/35)
23576-07,B31 Salle du conseil (3/18)
2364-07,B52 TP40 (-1/301)
23763-07,B36 Jorissen (0/3)
23787-07,N1a 30 (0/30)
2380-07,B7b A142 (0/28)
2381-07,B42 Amphi B (0/3a)
2382-07,A1 Salle Gothot (1/36)
23900-07,B6d R24 (0/24)
23937-07,N1a 30 (0/30)
2409-07,B31 Laurent (4/89)
24105-07,B7b A142 (0/28)
2414-07,B28 R.7 (0/7)
2422-07,B5b S28 (-1/28)
24276-07,B7a A300 (0/5)
24279-07,B35a Welsch (0/7)
24323-07,B36 Jorissen (0/3)
2433-07,L3 (0/54)
24387-07,B22/1 Salle des profs (0/19)
2440-07,B7a S5 (-1/13)
2444-07,B4 R52 (0/60)
24527-07,B31 Durkheim (0/102)
246-07,N1a 115 (1/15)
2470-07,O2 Bovy (3/7b)
2475-07,B45 AMPHI C (0/8)
24817-07,O2 Bovy (3/7b)
24831-07,B7a A303 (0/3)
24865-07,A2 Salle Wilmotte (3/25)
24879-07,A1 Salle Gothot (1/36)
2488-07,B28 1.21
2489-07,B6c 3/70 (3/70)
24905-07,L3 (2/4)
2502-07,A2 Salle Kurth (1/25)
25371-07,E1 Auditoire 02 (0/25)
25479-07,B7b A202 (0/26)
2549-07,A4 R30 (0/2)
2550-07,B6d R30 (0/30)
2553-07,A1J Salle Grand Physique (1/76)
2568-07,B31 De Mean (2/102)
2595-07,F1 Auditoire moyen B02 (1/2)
26041-07,N1d (1/82)
26052-07,B8 Theatre Dick Annegarn (0/1)
2608-07,N1d (0/88)
26100-07,A2 5/16
2613-07,B52 TP64 (0/302)
26220-07,B7a A500 (0/7)
26475-07,B31 Mahaim (1/110)
26502-07,B31 Durkheim (0/102)
2659-07,L5 (1/9)
2674-07,N1a 50 (0/50)
2693-07,L1 Bergen (0/37)
2697-07,B36 Sternon (0/11)
272-07,N1a 50 (0/50)
2798-07,B37 Auditoire 01 (0/1)
2809-07,A2 Salle Kurth (1/25)
2851-07,A1 Seminaire theatre (2/53a)
2852-07,A1 Espace philo (3/36)
2853-07,A4 Theatre (0/35)
2854-07,E1 Auditoire 02 (0/25)
2858-07,B32 RICHELLE (1/6)
2860-07,B6d R22 (0/22)
2861-07,N3a 1/25
2862-07,L5 (0/3)
2863-07,N1a 130 (1/30)
2864-07,B31 Weber (0/91)
2867-07,B32 de LANDSHEERE (2/12)
2868-07,I1 Laboratoire de mycologie (1/13)
2871-07,A2 6/8
2872-07,A1 Salle Lumiere (2/52)
2906-07,F1 Grand auditoire B01 (0/2)
2912-07,O2 Bovy (3/7b)
2941-07,N1a 50 (0/50)
3072-07,A1 Salle Gothot (1/36)
3102-07,B35a F50 (2/9)
3113-07,A2 6/11
313-07,B31 Portalis (2/89)
3205-07,B31 Domat (0/89)
3212-07,B4 A304 (0/30)
3221-07,B31 Laurent (4/89)
323-07,B7a A1 (-1/10)
3272-07,B35a Welsch (0/7)
3303-07,B31 Portalis (2/89)
3304-07,B37 Auditoire 01 (0/1)
3305-07,O2 Bovy (3/7b)
3355-07,B52 TP36 (-1/303)
3358-07,J6 Salle de cours (0/21)
3359-07,N1a 126 (1/26)
3360-07,A1 Seminaire media (2/7a)
3364-07,B28 R.75 (0/75)
3365-07,A1 3/22
3366-07,A4 S50 (-1/48)
3368-07,L3 (0/51)
3369-07,B28 1.126
3371-07,L5 (2/6)
3373-07,A2 4/12
3375-07,L5 (2/6)
3378-07,B5a R47 (0/48)
3444-07,B6d C26 (-1/26)
3544-07,A4 Theatre (0/35)
3545-07,A1 Salle Academique (0/47)
360-07,N1d (0/89)
3629-07,L3 (0/54)
3632-07,B23 salle 18 (-1/11)
3635-07,O2 Pousseur (3/7a)
367-07,A4 S50 (-1/48)
3696-07,O2 Thiry (2/8a)
3739-07,L3 (0/54)
3742-07,B7a A500 (0/7)
3753-07,B23 salle 18 (-1/11)
376-07,B6d S27 (-1/27)
3776-07,B7a S5 (-1/13)
3817-07,B31 Seminaire 3 (1/29)
3837-07,B36 Sternon (0/11)
3849-07,B23 salle 19 (-1/12)
3871-07,B4 R53 (0/80)
3880-07,I1 Salle Ruwet (0/29)
3884-07,B28 R.3 (0/3)
3946-07,N1a 15 (0/15)
3951-07,L5 (0/4)
3958-07,B8 Theatre Dick Annegarn (0/1)
4067-07,B35a Bacq & Florkin (1/8)
4068-07,O2 Noppius (2/3a)
4076-07,A4 S100 (-1/44)
409-07,B4 R53 (0/80)
4148-07,B6c 3/67B
4220-07,B45 AMPHI C (0/8)
4230-07,E1 Auditoire 02 (0/25)
4235-07,B77 Salle polyvalente (0/6)
4236-07,A2 4/15
4241-07,B42 Salle RUPO 2 (0/78)
4250-07,L5 (1/6)
4323-07,B32 de LANDSHEERE (2/12)
4358-07,L1 (1/16)
4460-07,B6d R22 (0/22)
4573-07,B35a Bacq & Florkin (1/8)
4577-07,B41 AMPHI A (0/5a)
4579-07,B7a A303 (0/3)
4601-07,B31 Raikem (0/110)
4622-07,B5b S26 (-1/26)
4635-07,N1d (-1/89)
4637-07,B31 Comte (0/113)
4665-07,B28 2.93
4671-07,A2 6/8
471-07,O2 Noppius (2/3a)
4751-07,B32 TV (0/2)
4754-07,A1J Salle Moyen Physique (0/72)
4765-07,B36 salle 2 (-1/15)
4777-07,B6d R30 (0/30)
4984-07,N1a 50 (0/50)
4986-07,B36 Stainier (0/5)
5002-07,B21 Salle de cours ISEPK (2/11A)
5005-07,B4 S94 (-1/90)
5022-07,B20 R 94 (0/15)
5024-07,B5a R45 (0/46)
5035-07,B37 S.42 (-1/42)
5044-07,A1 Seminaire cinema (2/48a)
5065-07,B31 Portalis (2/89)
5087-07,N1a 223 (2/23)
5100-07,B18 R 125 (0/125)
5136-07,A2 5/16
525-07,A4 S50 (-1/48)
5267-07,N3a 2027 (0/27)
5270-07,A1J Salle Moyen Physique (0/72)
5275-07,A1 3/28b
5279-07,B6d R24 (0/24)
529-07,B5b S30 (-1/30)
5317-07,E1 Auditoire 01 (0/28)
5383-07,B43a Amphi D (2/36a)
5407-07,B6d C26 (-1/26)
5492-07,B7a A300 (0/5)
5493-07,B11 1/31 (1/31)
5512-07,B32 TV (0/2)
5517-07,A2 5/39
5571-07,B7a A300 (0/5)
5618-07,B41 Salle 7/TP sous RX (-1/46)
5620-07,O2 Lejeune (1/3a)
574-07,B33 Trifac 3 (-1/40)
5743-07,E1 Auditoire 02 (0/25)
5773-07,N1a 50 (0/50)
5785-07,N1a 34 (0/34)
579-07,A1 Salle Academique (0/47)
5791-07,B31 Seminaire 6 (2/24)
581-07,B41 AMPHI A (0/5a)
5840-07,L3 (0/54)
584-07,B43a Amphi D (2/36a)
590-07,N1a 138 (1/38)
5916-07,B36 salle 2 (-1/15)
5956-07,B36 salle 1 (-1/16)
597-07,N1a 223 (2/23)
5971-07,L5 (1/8)
5975-07,L5 (2/1)
6018-07,L3 Auditoire 0/13A
6052-07,A4 Local Musicologie (0/59B)
614-07,B7b A202 (0/26)
6205-07,N1d (0/88)
6251-07,N1a 50 (0/50)
6341-07,N1a 119 (1/19)
6369-07,B23 salle 50 (-1/15)
639-07,B7a A500 (0/7)
6393-07,B31 Portalis (2/89)
640-07,N1a 50 (0/50)
6421-07,L1 Rome (1/33)
6446-07,L3 (2/37)
6456-07,B4 S74 (-1/80)
6485-07,A1 Philo1 (2/35A)
6493-07,B7a A500 (0/7)
6507-07,B6d R30 (0/30)
6565-07,L5 (1/7)
6620-07,A2 2/3
6784-07,E1 Auditoire 01 (0/28)
6801-07,B4 S74 (-1/80)
6815-07,B5b S34 (-1/34)
685-07,E1 Auditoire 02 (0/25)
6953-07,B31 Keynes (0/84)
6954-07,B31 Tocqueville (2/84)
6955-07,B33 Trifac 2 (-1/43)
6958-07,B6c 3/68
696-07,B23 salle 14 (-1/7)
6962-07,B31 Medialab (3/47)
697-07,L5 (1/5)
6978-07,B7a A303 (0/3)
6979-07,B37 1/64
6993-07,B4 R52 (0/60)
6998-07,L5 (1/3)
705-07,B5b S26 (-1/26)
7192-07,A1 Seminaire theatre (2/53a)
743-07,B31 Tocqueville (2/84)
7518-07,A1 3/22
7533-07,L5 (2/6)
7534-07,N3a 1/25
7551-07,A4 R100 (0/44)
7604-07,A1 Philo2 (2/28C)
7639-07,B7a A303 (0/3)
7645-07,B8 Theatre Dick Annegarn (0/1)
7771-07,N1a 30 (0/30)
7827-07,B7a A300 (0/5)
7886-07,A1J Salle Grand Physique (1/76)
7887-07,N1a 30 (0/30)
7997-07,B4 A604 (0/75)
8054-07,B4 A304 (0/30)
8056-07,B4 A604 (0/75)
823-07,B34 Amphi Leon Fredericq (5/59A)
8233-07,B36 Jorissen (0/3)
825-07,N1a 50 (0/50)
858-07,N1a 138 (1/38)
859-07,B52 TP40 (-1/301)
8593-07,B31 Durkheim (0/102)
860-07,B31 Keynes (0/84)
862-07,A1 Salle Academique (0/47)
863-07,B28 1.126
8649-07,A1 Salle Gothot (1/36)
8684-07,L3 (2/4)
8707-07,N1a 30 (0/30)
8826-07,B33 Trifac 4 (-1/35)
8832-07,B31 Seminaire 1 (0/1)
8833-07,B32 DUYCKAERTS (0/14)
8892-07,B5a Geomatique (2/43)
8998-07,B36 revision microscopie (-1/50)
9002-07,B11 1/31 (1/31)
9073-07,L5 (2/7)
9116-07,O2 Lejeune (1/3a)
9122-07,B37 Auditoire 01 (0/1)
9147-07,A1 CEDOPAL (3/46)
9170-07,B7a A300 (0/5)
9208-07,J6 Auditoire (0/35)
9209-07,A1 3/28a
9210-07,N1a 25 (0/25)
9212-07,B28 R.3 (0/3)
934-07,B6c 3/67A
935-07,L5 (1/4)
9518-07,L5 (2/8)
9529-07,B7a A500 (0/7)
9560-07,B33 Trifac 2 (-1/43)
9631-07,A4 S50 (-1/48)
9678-07,A4 S100 (-1/44)
9709-07,B34 Amphi Leon Fredericq (5/59A)
9717-07,B37 0.33
98-07,B8 Theatre Dick Annegarn (0/1)
995-07,B41 Salle 7/TP sous RX (-1/46)
9968-07,B6c 3/67A
9970-07,B22/1 Salle des profs (0/19)
9973-07,B4 R54 (0/90)
